Date,Microsoft,GE,Intel,GM
30-Mar-90,0.121519,0.040486,0.037267,0.022284
30-Apr-90,0.047404,-0.00389,-0.05389,-0.03542
31-May-90,0.258621,0.083516,0.221519,0.115819
29-Jun-90,0.041096,0.005445,-0.02591,-0.02057
31-Jul-90,-0.125,0.034296,-0.05319,-0.021
31-Aug-90,-0.07519,-0.13438,-0.25,-0.13137
28-Sep-90,0.02439,-0.11339,-0.00375,-0.08805
31-Oct-90,0.011905,-0.04587,0.007519,0.013793
30-Nov-90,0.133333,0.052885,0.119403,0.013605
31-Dec-90,0.041522,0.05726,0.026667,-0.05822
31-Jan-91,0.303987,0.115468,0.188312,0.054545
28-Feb-91,0.057325,0.070469,0.043716,0.10069
28-Mar-91,0.022892,0.023897,-0.02094,-0.0443
30-Apr-91,-0.06714,0.016158,0.053476,-0.05298
31-May-91,0.108586,0.099081,0.13198,0.217483
28-Jun-91,-0.06891,-0.04207,-0.16592,-0.05507
31-Jul-91,0.078899,-0.01014,0.010753,-0.02454
30-Aug-91,0.159864,0.022184,0.053191,-0.03396
30-Sep-91,0.043988,-0.06664,-0.14646,-0.01645
31-Oct-91,0.054775,-0.00541,-0.03846,-0.0602
29-Nov-91,0.035952,-0.06159,0.009231,-0.11317
31-Dec-91,0.143959,0.189961,0.195122,-0.06098
31-Jan-92,0.080899,-0.01634,0.221939,0.121212
28-Feb-92,0.027027,0.04485,0.060543,0.170656
31-Mar-92,-0.04049,-0.02957,-0.12992,-0.02333
30-Apr-92,-0.06962,0.011551,-0.03167,0.133106
29-May-92,0.097506,-0.00326,-0.06542,-0.03916
30-Jun-92,-0.13223,0.025205,0.14,0.11348
31-Jul-92,0.039286,-0.01608,0.048246,-0.05398
31-Aug-92,0.024055,-0.03268,-0.02929,-0.15856
30-Sep-92,0.080537,0.065405,0.133621,-0.0722
30-Oct-92,0.102484,-0.01917,0.028137,-0.0428
30-Nov-92,0.049296,0.084691,0.059259,0.055285
31-Dec-92,-0.08322,0.034595,0.216783,0
29-Jan-93,0.013177,0.00731,0.228161,0.170543
26-Feb-93,-0.03613,-0.02322,0.091335,-0.00795
31-Mar-93,0.109445,0.066924,-0.01288,0.010067
30-Apr-93,-0.07568,0.01683,-0.17196,0.086379
28-May-93,0.083333,0.023448,0.165572,-0.01346
30-Jun-93,-0.04993,0.039137,-0.00789,0.109034
30-Jul-93,-0.15909,0.028721,-0.04909,0.089888
31-Aug-93,0.015203,-0.00254,0.229665,-0.02938
30-Sep-93,0.09817,-0.01776,0.101167,-0.10933
29-Oct-93,-0.02879,0.011734,-0.1053,0.140719
30-Nov-93,-0.00156,0.014175,-0.02767,0.111811
31-Dec-93,0.007813,0.073393,0.00813,0.040284
31-Jan-94,0.055814,0.027414,0.053226,0.116173
28-Feb-94,-0.03084,-0.02204,0.05364,-0.04571
31-Mar-94,0.027273,-0.04418,-0.01818,-0.07511
29-Apr-94,0.091445,-0.0475,-0.09556,0.053364
31-May-94,0.162162,0.044619,0.02459,-0.04934
30-Jun-94,-0.03953,-0.05558,-0.064,-0.06512
29-Jul-94,-0.00242,0.080429,0.013932,0.022388
31-Aug-94,0.128641,-0.01241,0.109705,-0.018
30-Sep-94,-0.03441,-0.02543,-0.06464,-0.06716
31-Oct-94,0.122494,0.015584,0.011138,-0.15733
30-Nov-94,-0.00198,-0.05882,0.016097,-0.02975
30-Dec-94,-0.02783,0.117609,0.011881,0.104918
31-Jan-95,-0.02863,0.009804,0.087045,-0.07715
28-Feb-95,0.061053,0.063107,0.14955,0.101608
31-Mar-95,0.128968,-0.00621,0.064263,0.032258
28-Apr-95,0.149385,0.037037,0.206892,0.025568
31-May-95,0.035933,0.035714,0.096459,0.07036
30-Jun-95,0.067159,-0.02095,0.128062,-0.02344
31-Jul-95,0.001383,0.046563,0.027285,0.04
